date,unemployment rate,unemployment rate-scaled
2021.1,4.5,-0.807
2021.11,4.1,-0.877
2021.12,3.9,-0.912
2022.01,4,-0.895
2022.02,3.8,-0.93
2022.03,3.6,-0.965
2022.04,3.7,-0.947
2022.05,3.6,-0.965
2022.06,3.6,-0.965
2022.07,3.5,-0.982
2022.08,3.6,-0.965
2022.09,3.5,-0.982
2022.1,3.6,-0.965
2022.11,3.6,-0.965
2022.12,3.5,-0.982
2023.01,3.4,-1
2023.02,3.6,-0.965
2023.03,3.5,-0.982
2023.04,3.4,-1
2023.05,3.7,-0.947
2023.06,3.6,-0.965
2023.07,3.5,-0.982
2023.08,3.8,-0.93
2023.09,3.8,-0.93
2023.1,3.8,-0.93
2023.11,3.7,-0.947
2023.12,3.7,-0.947
