Date_YYYYMM,cspending,gfcf,gspending,Iip,interest rates,gdp growth rate,cspending-scaled,gfcf-scaled,gspending-scaled,iip-scaled,interest rates-scaled,gdp rate-scaled
2022.01,8.1,4.07,1.1,2,4,1.3,0.791,0.211,-0.13,-0.241,-1,0.213
2022.02,8.1,4.07,1.1,1.2,4,1.3,0.791,0.211,-0.13,-0.251,-1,0.213
2022.03,8.1,4.07,1.1,2.2,4,1.3,0.791,0.211,-0.13,-0.239,-1,0.213
2022.04,7.9,4.73,1.49,6.7,4,4.3,0.702,0.66,0.593,-0.181,-1,0.613
2022.05,7.9,4.73,1.49,19.7,4,4.3,0.702,0.66,0.593,-0.015,-1,0.613
2022.06,7.9,4.73,1.49,12.6,4.4,4.3,0.702,0.66,0.593,-0.106,-0.822,0.613
2022.07,7.23,4.33,1.39,2.2,4.9,1.8,0.404,0.388,0.407,-0.239,-0.6,0.28
2022.08,7.23,4.33,1.39,-0.7,4.99,1.8,0.404,0.388,0.407,-0.276,-0.56,0.28
2022.09,7.23,4.33,1.39,3.3,5.4,1.8,0.404,0.388,0.407,-0.225,-0.378,0.28
2022.1,7.6,4.3,1.12,-4.1,5.9,1.4,0.569,0.367,-0.093,-0.319,-0.156,0.227
2022.11,7.6,4.3,1.12,7.6,5.9,1.4,0.569,0.367,-0.093,-0.17,-0.156,0.227
2022.12,7.6,4.3,1.12,5.1,5.9,1.4,0.569,0.367,-0.093,-0.202,-0.156,0.227
2023.01,8.23,4.27,1.18,5.8,6.25,2.1,0.849,0.347,0.019,-0.193,0,0.32
2023.02,8.23,4.27,1.18,6,6.25,2.1,0.849,0.347,0.019,-0.19,0,0.32
2023.03,8.23,4.27,1.18,1.9,6.5,2.1,0.849,0.347,0.019,-0.242,0.111,0.32
2023.04,8,4.9,1.69,4.6,6.5,2.7,0.747,0.776,0.963,-0.208,0.111,0.4
2023.05,8,4.9,1.69,5.7,6.5,2.7,0.747,0.776,0.963,-0.194,0.111,0.4
2023.06,8,4.9,1.69,4,6.5,2.7,0.747,0.776,0.963,-0.216,0.111,0.4
2023.07,7.63,4.7,1.39,6.2,6.5,2.7,0.582,0.639,0.407,-0.187,0.111,0.4
2023.08,7.63,4.7,1.39,10.9,6.5,2.7,0.582,0.639,0.407,-0.127,0.111,0.4
2023.09,7.63,4.7,1.39,6.4,6.5,2.7,0.582,0.639,0.407,-0.185,0.111,0.4
2023.1,7.8,4.8,1.28,11.9,6.5,2.9,0.658,0.707,0.204,-0.115,0.111,0.427
2023.11,7.8,4.8,1.28,2.5,6.5,2.9,0.658,0.707,0.204,-0.235,0.111,0.427
2023.12,7.8,4.8,1.28,4.4,6.5,2.9,0.658,0.707,0.204,-0.21,0.111,0.427
